student_id,gender,grade_level,study_hours_per_day,attendance_pct,math,science,english,average,passed
47,Female,9,6.7,74.0,87.0,82.0,100.0,89.7,1
48,Female,10,5.4,100.0,74.0,63.0,80.0,72.3,1
49,Female,12,6.4,100.0,91.0,83.0,67.0,80.3,1
50,Female,12,5.1,73.3,73.0,66.0,76.0,71.7,1
51,Female,9,5.6,81.3,73.0,88.0,65.0,75.3,1
52,Female,9,6.3,88.4,82.0,77.0,67.0,75.3,1
53,Female,10,2.1,100.0,76.0,76.0,70.0,74.0,1
54,Female,11,4.4,75.1,84.0,58.0,65.0,69.0,1
55,Female,11,4.1,82.5,68.0,72.0,67.0,69.0,1
56,Male,12,3.7,92.8,68.0,70.0,65.0,67.7,1
57,Male,10,4.4,89.3,78.0,63.0,70.0,70.3,1
58,Female,9,8.0,81.2,79.0,86.0,80.0,81.7,1
59,Male,9,3.3,83.7,66.0,73.0,43.0,60.7,1
60,Male,9,6.9,71.3,79.0,74.0,78.0,77.0,1
61,Female,9,1.6,82.6,57.0,42.0,47.0,48.7,0
62,Female,12,4.3,82.3,61.0,68.0,51.0,60.0,1
63,Female,10,5.3,87.3,61.0,66.0,68.0,65.0,1
64,Male,12,6.2,79.4,60.0,73.0,71.0,68.0,1
65,Male,11,6.4,89.7,71.0,79.0,66.0,72.0,1
66,Female,11,6.6,95.1,78.0,68.0,82.0,76.0,1
67,Female,10,4.3,86.6,66.0,56.0,52.0,58.0,1
68,Male,12,4.1,88.5,84.0,72.0,62.0,72.7,1
69,Female,9,6.7,85.5,89.0,75.0,67.0,77.0,1
70,Male,9,4.6,85.0,62.0,49.0,66.0,59.0,1
71,Female,10,2.4,77.8,60.0,65.0,62.0,62.3,1
72,Female,10,2.7,88.2,58.0,64.0,51.0,57.7,1
73,Female,11,3.2,84.0,61.0,58.0,69.0,62.7,1
74,Female,11,6.0,100.0,81.0,69.0,74.0,74.7,1
75,Male,11,5.3,100.0,81.0,84.0,52.0,72.3,1
76,Male,10,6.4,88.9,77.0,82.0,53.0,70.7,1
77,Male,10,4.1,77.4,74.0,85.0,64.0,74.3,1
78,Female,12,5.3,73.9,62.0,74.0,65.0,67.0,1
79,Female,9,6.3,96.9,81.0,84.0,72.0,79.0,1
80,Female,11,4.4,87.6,90.0,68.0,66.0,74.7,1
81,Male,11,5.9,89.8,79.0,84.0,73.0,78.7,1
82,Male,12,3.7,67.6,73.0,67.0,71.0,70.3,1
83,Female,11,4.3,94.3,71.0,81.0,56.0,69.3,1
84,Female,10,4.2,89.5,74.0,65.0,54.0,64.3,1
85,Female,10,2.6,73.9,57.0,55.0,48.0,53.3,1
86,Male,10,6.0,80.3,75.0,71.0,73.0,73.0,1
87,Male,10,4.1,87.6,62.0,75.0,78.0,71.7,1
88,Female,9,5.0,85.5,76.0,84.0,64.0,74.7,1
89,Female,11,6.0,82.1,70.0,72.0,45.0,62.3,1
90,Male,9,5.9,84.0,82.0,72.0,53.0,69.0,1
91,Female,11,6.3,82.5,87.0,79.0,63.0,76.3,1
92,Male,12,4.8,86.5,74.0,69.0,62.0,68.3,1
93,Male,12,4.2,99.7,69.0,79.0,63.0,70.3,1
94,Female,9,4.8,59.3,69.0,46.0,64.0,59.7,1
95,Female,12,1.6,82.6,52.0,49.0,54.0,51.7,1
96,Female,9,2.1,86.8,65.0,53.0,70.0,62.7,1
97,Male,10,2.4,88.0,45.0,42.0,54.0,47.0,0
98,Female,9,3.0,81.3,59.0,54.0,53.0,55.3,1
99,Female,9,5.8,67.4,57.0,64.0,72.0,64.3,1
100,Female,9,3.2,88.3,52.0,63.0,47.0,54.0,1
101,Male,9,4.2,100.0,82.0,81.0,71.0,78.0,1
102,Female,12,7.6,69.7,89.0,78.0,74.0,80.3,1
103,Female,9,4.3,93.6,64.0,63.0,65.0,64.0,1
104,Female,10,6.5,81.7,67.0,77.0,88.0,77.3,1
105,Male,11,3.1,84.4,39.0,71.0,56.0,55.3,1
106,Female,12,4.6,74.5,64.0,60.0,86.0,70.0,1
107,Male,12,3.1,81.7,81.0,55.0,59.0,65.0,1
108,Male,9,4.3,98.0,75.0,76.0,55.0,68.7,1
109,Female,12,6.7,90.8,77.0,79.0,74.0,76.7,1
110,Male,11,1.5,100.0,61.0,65.0,49.0,58.3,1
111,Female,9,5.9,96.8,66.0,79.0,65.0,70.0,1
112,Male,10,5.5,89.4,73.0,81.0,74.0,76.0,1
113,Female,12,3.8,100.0,70.0,62.0,72.0,68.0,1
114,Female,10,2.1,89.4,58.0,60.0,53.0,57.0,1
115,Female,9,5.1,93.3,80.0,73.0,79.0,77.3,1
116,Male,12,3.9,82.0,69.0,56.0,76.0,67.0,1
117,Male,12,5.5,85.7,80.0,62.0,84.0,75.3,1
118,Male,12,5.0,78.0,65.0,75.0,72.0,70.7,1
119,Male,12,8.2,94.9,97.0,86.0,92.0,91.7,1
120,Female,12,4.5,73.2,80.0,58.0,46.0,61.3,1
121,Male,10,3.0,92.8,56.0,64.0,60.0,60.0,1
122,Male,9,5.4,83.1,67.0,82.0,60.0,69.7,1
123,Male,11,5.4,96.7,87.0,58.0,72.0,72.3,1
124,Male,9,7.7,92.5,85.0,74.0,71.0,76.7,1
125,Female,10,6.7,100.0,95.0,76.0,73.0,81.3,1
126,Female,11,5.7,92.3,73.0,88.0,90.0,83.7,1
127,Male,12,7.9,69.3,95.0,83.0,72.0,83.3,1
128,Female,10,2.6,84.3,61.0,67.0,65.0,64.3,1
129,Female,10,3.7,73.3,65.0,54.0,60.0,59.7,1
130,Male,11,3.1,79.8,74.0,53.0,62.0,63.0,1
131,Male,9,4.2,100.0,68.0,75.0,68.0,70.3,1
132,Male,11,2.2,91.4,52.0,61.0,65.0,59.3,1
133,Male,11,6.3,78.0,74.0,80.0,82.0,78.7,1
134,Male,11,4.6,74.9,72.0,66.0,82.0,73.3,1
135,Male,10,2.1,85.3,45.0,61.0,62.0,56.0,1
136,Female,12,3.0,72.8,65.0,61.0,66.0,64.0,1
137,Male,10,5.6,78.3,69.0,79.0,57.0,68.3,1
138,Female,11,6.7,88.1,90.0,87.0,72.0,83.0,1
139,Male,10,9.0,96.6,75.0,80.0,91.0,82.0,1
140,Male,9,10.8,91.1,96.0,81.0,95.0,90.7,1
141,Female,11,5.8,62.1,58.0,78.0,69.0,68.3,1
142,Female,9,3.0,88.0,56.0,73.0,71.0,66.7,1
143,Female,12,0.7,85.7,53.0,44.0,60.0,52.3,1
144,Male,11,5.5,89.1,74.0,60.0,82.0,72.0,1
145,Male,10,3.4,100.0,65.0,69.0,68.0,67.3,1
146,Male,10,4.2,64.4,63.0,70.0,59.0,64.0,1
147,Male,11,3.8,79.1,66.0,79.0,67.0,70.7,1
148,Female,10,4.7,90.9,64.0,76.0,38.0,59.3,1
149,Male,10,7.1,69.2,85.0,74.0,76.0,78.3,1
150,Male,10,5.3,99.8,82.0,70.0,34.0,62.0,1
151,Female,10,4.7,88.7,74.0,71.0,50.0,65.0,1
152,Male,12,2.9,93.5,68.0,62.0,67.0,65.7,1
153,Male,9,1.7,79.3,57.0,47.0,62.0,55.3,1
154,Male,12,4.0,93.1,85.0,86.0,54.0,75.0,1
155,Male,10,4.9,95.7,73.0,88.0,62.0,74.3,1
156,Female,11,8.5,87.3,88.0,97.0,92.0,92.3,1
157,Female,9,5.3,87.3,68.0,66.0,64.0,66.0,1
158,Female,10,7.0,87.7,74.0,88.0,97.0,86.3,1
159,Male,12,4.0,76.4,55.0,70.0,63.0,62.7,1
160,Female,10,2.6,83.5,53.0,64.0,64.0,60.3,1
161,Female,9,3.1,83.5,62.0,73.0,78.0,71.0,1
162,Male,11,3.5,88.8,68.0,71.0,65.0,68.0,1
163,Female,9,9.3,95.0,96.0,100.0,72.0,89.3,1
164,Male,10,3.4,74.4,56.0,67.0,60.0,61.0,1
165,Female,10,6.7,83.7,87.0,82.0,72.0,80.3,1
166,Female,11,3.2,99.8,72.0,53.0,51.0,58.7,1
167,Male,11,6.9,77.6,79.0,79.0,70.0,76.0,1
168,Male,11,5.8,76.8,69.0,69.0,61.0,66.3,1
169,Male,12,4.7,87.0,75.0,61.0,76.0,70.7,1
170,Female,9,4.9,93.4,75.0,87.0,69.0,77.0,1
171,Male,10,3.7,85.1,54.0,80.0,61.0,65.0,1
172,Female,9,5.9,98.3,79.0,90.0,71.0,80.0,1
173,Male,9,4.1,93.6,71.0,72.0,69.0,70.7,1
174,Male,9,2.5,93.4,54.0,73.0,68.0,65.0,1
175,Female,11,2.4,90.5,62.0,62.0,51.0,58.3,1
176,Female,12,5.3,100.0,65.0,78.0,60.0,67.7,1
177,Female,12,8.2,82.9,98.0,77.0,88.0,87.7,1
178,Male,11,5.3,65.0,79.0,71.0,62.0,70.7,1
179,Male,12,4.8,100.0,72.0,75.0,55.0,67.3,1
180,Male,9,5.6,80.4,77.0,63.0,73.0,71.0,1
181,Female,12,7.6,86.1,66.0,83.0,80.0,76.3,1
182,Female,12,5.4,98.1,67.0,76.0,56.0,66.3,1
183,Male,9,4.2,69.0,62.0,79.0,65.0,68.7,1
184,Female,10,7.2,72.5,72.0,86.0,80.0,79.3,1
185,Male,12,5.9,69.0,79.0,72.0,72.0,74.3,1
186,Female,10,8.1,77.1,100.0,86.0,82.0,89.3,1
187,Female,12,5.4,89.4,65.0,75.0,56.0,65.3,1
188,Female,12,2.6,90.2,54.0,61.0,65.0,60.0,1
189,Male,10,2.3,87.8,61.0,52.0,57.0,56.7,1
190,Female,9,8.3,70.9,99.0,82.0,71.0,84.0,1
191,Male,10,8.4,61.9,75.0,75.0,83.0,77.7,1
192,Female,9,4.6,85.5,72.0,60.0,81.0,71.0,1
193,Male,10,4.2,80.3,82.0,71.0,83.0,78.7,1
194,Female,11,7.9,89.6,74.0,89.0,90.0,84.3,1
195,Male,10,2.8,92.0,52.0,49.0,61.0,54.0,1
196,Male,9,3.2,86.4,60.0,63.0,66.0,63.0,1
197,Female,10,6.3,92.6,76.0,87.0,80.0,81.0,1
198,Female,11,4.2,87.3,75.0,77.0,67.0,73.0,1
199,Male,9,5.0,90.3,75.0,81.0,70.0,75.3,1
200,Female,9,4.7,78.0,55.0,69.0,74.0,66.0,1
